SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag,phot_bp_rp_excess_factor_corr,gm,Mem_Prob
3950102592025091840,182.5102858501365,18.534410700148488,0.0538254493807183,-1.6746835614187665,-2.1760325316654443,0.09436565,0.08477679,1.0544924,1.2022023,1.339322,17,1.2127682,0.06328392,17.18326,0.0561417107640767,6.745272812515265e-05,0.9885686087057226
3950102592025098496,182.5046558597936,18.5396902542826,-0.1673186937541775,-1.483953988208845,-2.3319670520200533,0.5904692,0.4244263,1.0605301,0.65899104,1.3856436,15,1.6266956,0.7433548,19.622984,0.4313674917625083,-0.1317243939785028,0.9067511209539156
3950102592026293888,182.506495830946,18.52601624897976,0.0661085788779364,-1.7040101751722194,-2.1034595098505835,0.054482285,0.05278927,1.0166858,0.22157668,0.4322632,17,1.225428,1.0976591,16.297411,-0.0007296229373825,-0.0117204991885105,0.9977446701118304
3950102592026295296,182.50827465798216,18.53457570547381,0.009700951300081,-1.7026854039581294,-2.1305321321533226,0.062285118,0.058806844,1.030099,0.0,0.7702009,17,1.2305387,1.057723,16.615713,0.0082605126277206,-0.0076541398126269,0.9961986621784056
3950102622090240896,182.5168760407444,18.54809818817277,-0.0041641113885688,-1.7110475304918256,-2.1142498023550567,0.022215292,0.020123377,1.0188525,0.0,0.4954451,17,1.2604152,1.3811884,14.354553,0.0041047945433878,-0.0128000058468056,0.9986293562734352
3950102622090244096,182.51918319019904,18.54321801461111,0.0979123326962827,-1.6744930622148295,-2.383701869996214,0.21127473,0.18669982,1.02183,0.0,0.55408293,17,1.5674632,0.82605934,18.51704,0.3656928059272457,-0.0011553074578468,0.9234725387757023
3950102622090249856,182.51015336159148,18.54466291210202,-0.0077223772164085,-1.595146926683234,-2.16748117280786,0.18944304,0.2135378,1.0173266,0.0,0.4444348,16,1.1963121,0.95658875,18.47341,-0.0165835016493314,0.0085295506665526,0.9692978564813728
3950102626384845952,182.5115281840033,18.53985374761912,0.1852357062815736,-1.9247667729600229,-1.939149299315429,0.5213806,0.4643098,1.0357426,0.11002589,0.7947697,15,1.3486146,0.7595005,19.528362,0.1520670371206294,-0.3004118367978799,0.9197992349558372
3950102626384847872,182.51861813526784,18.53747474798641,-0.0765618859605289,-1.7868993542721232,-2.0235733968349785,0.1959141,0.21284072,0.96604663,0.0,-0.78587914,15,,,18.459724,,-0.0888716696184268,0.9747610836998584
3950102626384851072,182.5148846502036,18.54027816733552,-0.4786842728752722,-1.5210096547834788,-1.7220732844079751,0.4951325,0.44655672,1.0264446,0.0,0.62078816,14,1.8410724,0.8070755,19.511013,0.6408234370526662,0.3484953664759863,0.9185392779803424
3950102626385007360,182.51773685070185,18.54410647790872,-0.5426810527523318,-1.4592644664479806,-2.0549228108996576,0.20572849,0.1898828,1.1097062,1.4131691,2.6588514,17,1.4383526,0.9456768,18.473383,0.2264303938298264,0.1403367832950005,0.955559326667158
3950102626385007616,182.5170429747981,18.544042840357825,-0.0616382716450594,-1.7471855777087153,-1.9915089228101224,0.07848475,0.073121354,1.0269623,0.48566458,0.6709279,17,1.2819743,0.33626175,16.970415,0.1126084443804116,-0.0681669316130825,0.991753052977805
3950102626385010944,182.5158969673024,18.54544472810235,-0.1003117566131618,-1.8066262845252727,-2.16073708694996,0.10166753,0.09877734,0.9954572,0.0,-0.08597479,17,1.1390061,-0.03208542,17.522314,-0.0143035395337574,-0.0181104775434184,0.9851861942310808
3950102626385014656,182.51544489415005,18.54680097945585,-0.1006768467803775,-2.014451248027653,-1.971123159748868,0.35645375,0.28562993,1.0259765,0.09395594,0.6254913,16,1.3289121,0.8930721,19.121328,0.1215728072239663,-0.3564005614317941,0.9347756069455398
3950102626385032960,182.5204245226466,18.54895371792123,-0.5203498961455881,-1.792333353768112,-1.860171778462659,0.41930655,0.33801466,1.0542672,0.12523407,1.2672468,16,1.3386728,0.90387154,19.322409,0.1304076194936727,-0.1850433603638513,0.940129236676322
3950102626385149952,182.51755446964023,18.545119897983845,0.2175914051891136,-1.7727173646212615,-1.69445591135145,0.6778661,0.5149133,1.0193722,0.0,0.46240693,16,2.0229344,0.3940735,19.892712,0.8502533277923456,-0.2313764498800517,0.912310904369715
3950102626386035200,182.5149491002632,18.53519047994025,-0.0045554065718939,-1.834225901979613,-2.0676535893591383,0.07867671,0.08987373,1.00743,0.0,0.20639804,16,1.1647532,0.26284218,16.991335,-0.0007133952989584,-0.0930330480261881,0.9839508221357732
3950102626386053376,182.52243017137792,18.54297896050977,-0.0129494030214945,-1.761462054135704,-2.0667379316500245,0.029459966,0.027200192,1.0670557,1.2951161,1.6809412,17,1.3521199,1.216918,14.966558,0.1138186130269296,-0.05070165502985,0.9971427355850796
3950102626386129664,182.50688607322988,18.54445004495988,0.0069534103916435,-1.7435519657441074,-2.0536855009066457,0.052990153,0.050677773,1.1045941,1.9835668,2.5548277,17,1.2306826,1.1126919,16.184608,0.0030398499608972,-0.0443765887858514,0.9974596329440848
3950102626386132352,182.51324933108265,18.545833167855022,-0.017930612275458,-1.6711971326559836,-2.037068543674956,0.06602483,0.0636275,0.9108219,0.0,-2.1532671,17,1.2023925,1.0478497,16.740906,-0.0189415460434208,0.0033266473996123,0.9958495733592936
3950102626386132480,182.50971500912465,18.54759187433797,0.0756925437669981,-1.671199288639866,-2.0837864006008977,0.0946495,0.09459445,1.0069473,0.70553803,0.19043306,16,1.1405674,0.13057518,17.038952,-0.0187527038792891,0.0023056142503461,0.9934302922260212
3950102626386133248,182.51904147315176,18.54496384822406,-1.0866320287872182,-1.3475480115611378,-2.114064288564366,0.5017522,0.45125082,1.0737295,1.2111601,1.6842272,15,2.1091652,0.6381531,19.442432,0.921314678070328,0.1192243820250623,0.9141656920611728
