SOURCE_ID,ra,dec,parallax,pmra,pmdec,pmra_error,pmdec_error,ruwe,astrometric_excess_noise_sig,astrometric_gof_al,visibility_periods_used,phot_bp_rp_excess_factor,bp_rp,phot_g_mean_mag
3949795892705894016,182.80702729536105,18.116023591631265,-0.3228410054034451,-4.320519457655753,-3.7837457059096375,0.5743598,0.32790086,1.0832467,1.0845271,1.8076137,16,1.2868787,1.7394524,19.604633
3949795927065632896,182.8101744750844,18.125418566216364,0.0933681458240716,-1.8302430556016915,-1.225011361054427,0.19384551,0.14470871,1.0344247,0.0,0.78485745,15,1.2360415,1.1124382,18.245584
3949796408103074048,182.86102019370114,18.149398659210608,-0.3458382689054257,-2.43539633371248,-5.250429069586036,1.4413598,1.2402908,1.071001,0.11472304,1.2183282,12,1.8461806,1.2858963,20.768698
3949796442461710464,182.83932388198443,18.152205251161615,2.002255062472135,2.015677254769738,-48.77838473234752,0.5818401,0.3233684,0.99306476,0.8740501,-0.115065545,16,1.5341787,2.626278,19.6461
3949796442461710848,182.84740116355846,18.157422743690926,0.4117119211157794,-6.585803016406454,-2.8654432236765808,0.3621126,0.21926372,1.0241523,0.50495094,0.5522746,16,1.345252,1.7584877,19.071707
3949796481115988352,182.86582045524025,18.16194685533769,1.0000109718275147,-13.63610112778463,5.006872384336723,0.43377775,0.20243286,1.0297045,1.0236095,0.5706303,13,,,18.816809
3949796481116819712,182.86548030638667,18.162307619283247,0.889332514478951,-13.46172575776257,5.093136576209297,0.0430615,0.025981994,1.1261154,1.5440629,2.6649332,15,1.1999846,0.74200726,14.830972
3949796751699354752,182.78358265832344,18.139515016522843,0.5657863929804029,-5.282389371952037,-2.97235817683093,0.6660928,0.33989587,0.9668744,0.0,-0.68820745,15,1.164297,0.91846085,19.780205
3949796790354444928,182.74598009680494,18.115407086592914,0.4602006192403698,-4.378249681652597,-4.503608103642426,0.15363172,0.10968938,1.0965543,0.87934834,2.1259573,16,1.2785153,1.2478065,17.775877
3949796957857785344,182.7784303747342,18.144435340514928,0.32101701248458886,0.17388845347107007,-0.13255784873391338,0.45991358,0.24247761,0.9064061,0.0,-2.1014009,16,1.2342349,0.6675606,19.390131
3949797065232371328,182.8158299580825,18.141766703693094,0.9709690054338231,-17.474310367676633,8.690440621780878,0.069234714,0.04248741,0.96377796,0.0,-0.7918345,16,1.2332437,1.2124052,16.40613
3949797232735693440,182.8495581387034,18.165373314063793,1.5197674318756293,-2.2667605233790544,-17.703195893423754,1.0328046,0.5995054,1.049678,0.9297267,0.9874149,12,1.2924137,1.5704479,20.005241
3949797301455170816,182.83065709082106,18.186693684128382,-0.3713841719784427,-2.0879358498219687,-2.8111688062689772,0.42929503,0.23514195,0.9962176,0.0,-0.04760813,16,1.1894937,0.66861343,19.373528
3949797408829735680,182.77870015288516,18.170477030129938,0.256073420153521,-5.535903827248059,-7.6342379877673885,0.10596435,0.06806788,0.9958583,0.0,-0.059100717,16,1.1923277,0.87983704,17.25896
3949797541973451392,182.8029995532304,18.193071659373754,2.555394859466738,3.4512299193104106,-9.020577496126322,0.88733125,0.4514167,1.052774,1.7235948,1.0847936,16,1.5407782,2.3305168,20.03622
3949797580628427648,182.8070868493163,18.199228987756374,1.006267958783628,-26.555417824981635,-67.19483512335285,0.07810194,0.048596956,0.9971206,0.0,-0.032490145,16,1.2247608,0.95314217,16.650782
3949890347626668672,182.88495046041967,18.176895790820566,1.9704973285549823,-78.62354365899881,-1.3778499461473819,0.21947141,0.12526709,0.944758,0.0,-1.2068391,15,1.3999714,2.5061836,18.439978
3949890381986407168,182.89851192551205,18.17778825648814,1.1978433447570738,-7.416589603937858,-15.870727358486917,0.5030274,0.36126474,1.0058968,0.0,0.151787,15,1.1517668,-0.32369614,19.714487
3949890897382487424,182.92319667391183,18.21309759620038,1.8559772746129353,1.6467185263843496,-3.594301536644878,0.23261169,0.15463504,1.0619844,0.25433654,1.4152493,16,1.4347236,2.6409473,18.776203
3949890931742226560,182.9355348250394,18.217926311613862,1.5993069039344687,-32.67018790713513,-8.603481559446141,0.13742036,0.099248484,1.114262,1.6928563,2.437284,16,1.36111,2.2599506,17.72228
3949890966101979008,182.95026878819897,18.23411689144207,1.0578746083299708,-1.3141082698640552,-1.8885487847322449,1.0424747,0.8151703,0.9060863,0.0,-1.5631548,12,1.4336866,0.54016304,20.662806
3949891000461705472,182.93374938633903,18.233884435352735,0.5277071888552158,-2.4464736135910368,-7.808321243473184,0.08443513,0.049998228,1.0340049,0.84020835,0.75179505,14,1.2191535,0.96329117,16.749866
3949891069181173888,182.86078452728137,18.175999502846057,1.4903438369089639,-5.132744133314345,-0.7349425657773687,0.733372,0.43315548,1.0304767,0.31814423,0.64267164,15,1.5310268,1.8326187,20.046806
3949891069181175040,182.84851153842155,18.179850113017547,0.5953243712588719,-5.072246358805949,-14.623252134074043,0.24752982,0.15259099,0.9372809,1.283962e-15,-1.3731623,16,1.2115101,1.2365723,18.702345
3949891069181196672,182.8538792025207,18.173596729537024,0.7289024687191127,-12.728631981338054,-10.259848349950179,0.5229713,0.28260496,0.956837,0.0,-0.9180567,16,1.4616364,2.1576557,19.641026
