# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Tue Apr  8 13:55:52 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.062, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00024632 -1.80000 10.00000 0.8279767632 2.4281296266    0.826  0.595  3.8181  3.985    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -5.52e-13      0.00 8.483e-01 1.514e-01 3.222e-05 8.875e-06 8.119e-05 -1.000 2.120e-04 3.283 3.311 3.527 2.938
0.00024632 -1.80000 10.00000 0.8303555846 2.4288957823    0.829  0.632  3.8125  3.926    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -6.39e-13      0.00 8.476e-01 1.522e-01 3.236e-05 8.913e-06 8.153e-05 -1.000 2.156e-04 3.189 3.215 3.440 2.832
0.00024632 -1.80000 10.00000 0.8321664929 2.4294756525    0.830  0.665  3.8056  3.866    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -7.38e-13      0.00 8.470e-01 1.528e-01 3.246e-05 8.942e-06 8.179e-05 -1.000 2.184e-04 3.107 3.131 3.366 2.733
0.00024632 -1.80000 10.00000 0.8335785270 2.4299257894    0.832  0.695  3.7974  3.805    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -8.46e-13      0.00 8.466e-01 1.532e-01 3.254e-05 8.964e-06 8.199e-05 -1.000 2.205e-04 3.034 3.057 3.305 2.642
0.00024632 -1.80000 10.00000 0.8347135186 2.4302863397    0.833  0.721  3.7884  3.743    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -9.65e-13      0.00 8.447e-01 1.551e-01 3.308e-05 9.108e-06 8.329e-05 -1.000 2.193e-04 2.968 2.991 3.254 2.557
0.00024632 -1.80000 10.00000 0.8356583118 2.4305856112    0.834  0.744  3.7787  3.682    2  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.09e-12      0.00 8.370e-01 1.628e-01 3.454e-05 9.503e-06 8.684e-05 -1.000 2.049e-04 2.909 2.932 3.211 2.477
0.00024632 -1.80000 10.00000 0.8364809155 2.4308455451    0.835  0.766  3.7699  3.625    2  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -1.23e-12      0.00 8.158e-01 1.839e-01 3.775e-05 1.036e-05 9.452e-05 -1.000 2.117e-04 2.855 2.877 3.173 2.404
0.00024632 -1.80000 10.00000 0.8372395635 2.4310847491    0.835  0.790  3.7616  3.569    2  0.000  0.534     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-12      0.00 7.939e-01 2.058e-01 4.095e-05 1.122e-05 1.021e-04 -1.000 2.271e-04 2.796 2.820 3.130 2.330
0.00024632 -1.80000 10.00000 0.8380007148 2.4313242419    0.836  0.821  3.7538  3.506    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-12      0.00 7.792e-01 2.205e-01 4.308e-05 1.179e-05 1.072e-04 -1.000 2.530e-04 2.717 2.743 3.068 2.237
0.00024632 -1.80000 10.00000 0.8385957479 2.4315111182    0.837  0.856  3.7489  3.452    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-12      0.00 7.729e-01 2.269e-01 4.403e-05 1.204e-05 1.095e-04 -1.000 2.570e-04 2.631 2.659 2.993 2.142
0.00024632 -1.80000 10.00000 0.8391845226 2.4316957291    0.837  0.896  3.7447  3.395    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.15e-12      0.00 7.687e-01 2.311e-01 4.466e-05 1.221e-05 1.110e-04 -1.000 2.454e-04 2.529 2.559 2.901 2.033
0.00024632 -1.80000 10.00000 0.8393656015 2.4317524467    0.837  0.912  3.7437  3.376    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-12      0.00 7.678e-01 2.320e-01 4.478e-05 1.224e-05 1.113e-04 -1.000 2.370e-04 2.491 2.521 2.866 1.994
0.00024632 -1.80000 10.00000 0.8398514390 2.4319044818    0.838  0.954  3.7413  3.324    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-12      0.00 7.655e-01 2.343e-01 4.508e-05 1.232e-05 1.120e-04 -1.000 2.653e-04 2.385 2.416 2.765 1.884
0.00024632 -1.80000 10.00000 0.8403826952 2.4320704987    0.838  1.004  3.7388  3.265    3  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-12      0.00 7.632e-01 2.365e-01 4.535e-05 1.239e-05 1.126e-04 -1.000 2.661e-04 2.261 2.294 2.648 1.757
